sample	mutation_type	mutations
README-103	frameshift	1
README-103	missense	6
README-103	nonsense	1
README-103	splice	6
README-104	frameshift	9
README-104	nonsense	1
README-105	frameshift	7
README-105	missense	2
README-105	nonsense	1
README-106	frameshift	6
README-106	missense	1
README-106	nonsense	1
README-107	frameshift	2
README-107	missense	1
README-107	nonsense	5
README-107	silent	6
README-108	inframe	1
README-108	missense	1
README-109	missense	3
README-109	nonsense	1
README-109	splice	7
README-110	inframe	1
README-110	missense	3
README-110	nonsense	6
README-111	frameshift	6
README-111	splice	6
README-112	frameshift	1
README-112	missense	5
README-113	missense	2
README-113	nonsense	1
README-113	splice	7
README-114	missense	2
README-114	nonsense	7
README-115	frameshift	2
README-115	missense	1
README-115	nonsense	7
README-116	frameshift	1
README-116	inframe	8
README-116	nonsense	8
README-116	splice	1
README-117	missense	1
README-117	nonsense	3
README-118	inframe	1
README-118	missense	10
README-118	nonsense	3
README-118	splice	1
README-119	frameshift	1
README-119	inframe	1
README-119	missense	1
README-119	silent	1
README-120	inframe	4
README-120	missense	2
README-121	missense	1
README-121	nonsense	1
README-121	splice	6
README-122	missense	2
README-122	nonsense	7
README-122	silent	1
README-122	splice	1
README-123	frameshift	7
README-123	missense	1
README-123	silent	1
README-124	inframe	3
README-124	silent	5
README-125	missense	2
README-125	splice	6
README-126	frameshift	3
README-126	missense	3
README-126	nonsense	3
README-127	inframe	4
README-127	missense	1
README-128	inframe	9
README-128	missense	1
README-129	inframe	3
README-129	missense	1
README-129	nonsense	8
README-130	inframe	8
README-130	missense	1
README-130	silent	8
README-131	frameshift	1
README-131	missense	2
README-131	splice	7
README-132	frameshift	7
README-132	missense	1
README-132	splice	1
README-133	missense	8
README-133	nonsense	5
README-134	missense	2
README-134	nonsense	1
README-135	missense	2
README-135	nonsense	2
README-136	frameshift	8
README-136	missense	5
README-136	splice	1
README-137	nonsense	8
README-138	frameshift	1
README-138	inframe	8
README-138	missense	4
README-138	nonsense	1
README-139	splice	7
README-140	frameshift	6
README-140	missense	1
README-140	splice	3
README-141	frameshift	8
README-141	missense	1
README-141	nonsense	1
README-141	splice	2
README-142	frameshift	6
README-142	inframe	1
README-142	nonsense	4
README-142	splice	1
README-143	frameshift	4
README-143	missense	3
README-143	silent	5
README-144	missense	8
README-144	splice	1
README-145	frameshift	1
README-145	missense	1
README-145	nonsense	4
README-145	silent	8
README-146	missense	1
README-146	silent	1
README-146	splice	8
README-147	inframe	4
README-147	missense	5
README-148	frameshift	8
README-148	missense	8
README-148	splice	1
README-149	frameshift	8
README-149	inframe	3
README-149	splice	1
README-150	frameshift	4
README-150	missense	6
README-151	inframe	1
README-151	nonsense	8
README-151	silent	1
README-152	splice	4
README-153	missense	8
README-153	nonsense	1
README-154	frameshift	1
README-154	inframe	8
README-154	splice	6
README-155	inframe	2
README-156	nonsense	5
README-157	frameshift	9
README-157	missense	5
README-157	nonsense	1
README-158	missense	2
README-158	silent	7
README-159	silent	5
README-160	missense	1
README-160	silent	3
README-161	missense	8
README-162	missense	2
README-162	nonsense	8
README-163	nonsense	8
README-163	splice	1
README-164	inframe	2
README-164	missense	2
README-164	nonsense	4
README-165	missense	7
README-165	nonsense	1
README-165	silent	3
README-165	splice	1
README-166	missense	1
README-166	nonsense	1
README-166	silent	3
README-167	frameshift	1
README-167	inframe	1
README-167	missense	4
README-168	missense	5
README-169	frameshift	2
README-169	missense	1
README-169	splice	8
README-170	frameshift	1
README-170	inframe	1
README-170	missense	3
README-170	splice	1
README-171	missense	3
README-172	missense	1
README-172	nonsense	3
README-172	silent	6
README-172	splice	3
README-173	frameshift	1
README-173	splice	6
README-174	nonsense	9
README-175	frameshift	1
README-175	splice	1
README-176	inframe	2
README-176	nonsense	1
README-176	silent	1
README-176	splice	8
README-177	missense	8
README-177	nonsense	1
README-178	frameshift	8
README-178	missense	1
README-178	nonsense	2
README-179	inframe	1
README-179	missense	1
README-179	nonsense	1
README-179	splice	3
README-180	frameshift	5
README-180	missense	2
README-180	silent	4
